,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,activity
108,38.0,0.82,15.75,4.26,20.33,1.25,1
109,43.67,1.25,16.33,2.36,21.5,2.29,1
110,40.75,1.79,16.25,2.86,14.75,2.77,1
111,34.67,1.25,17.67,5.44,13.33,4.71,1
112,34.25,1.3,19.0,1.41,15.67,8.26,1
113,35.25,2.49,15.0,3.67,20.5,2.29,1
114,35.0,4.85,19.0,3.94,20.5,3.57,1
115,38.0,2.16,15.33,4.5,21.0,2.0,1
116,41.8,2.14,12.8,5.46,19.33,2.21,1
117,37.5,4.5,19.0,1.41,19.5,2.18,1
118,34.5,1.5,20.75,1.48,16.5,3.77,1
119,35.25,1.3,17.0,2.16,22.75,1.09,1
120,32.75,4.92,17.75,4.02,22.25,1.79,1
121,39.5,1.5,19.25,1.3,20.5,1.5,1
122,40.0,1.22,10.33,4.19,17.67,0.47,1
123,43.25,2.49,15.67,2.05,19.67,1.25,1
124,36.75,1.3,17.5,2.6,17.0,5.15,1
55,47.25,0.43,15.5,0.87,17.25,0.83,0
56,47.5,0.5,16.75,1.09,16.0,2.55,0
57,47.5,0.5,14.0,2.45,12.0,3.67,0
58,47.5,0.5,12.5,2.5,11.25,0.83,0
59,46.5,0.5,11.0,3.54,13.25,1.3,0
60,46.0,1.0,6.5,3.64,18.25,2.17,0
61,45.5,0.5,13.67,1.25,21.25,1.09,0
62,45.5,0.5,14.0,1.0,22.0,0.71,0
63,45.5,0.5,12.25,0.43,20.0,1.22,0
64,46.0,0.0,4.67,1.25,17.0,1.22,0
65,46.5,0.5,10.33,1.25,11.33,1.25,0
66,46.5,0.5,8.25,1.3,15.25,0.83,0
67,46.5,0.5,9.0,2.16,19.75,0.83,0
68,46.0,0.71,14.75,0.43,20.5,0.87,0
69,46.0,0.82,17.5,0.87,21.33,0.47,0
125,34.5,1.5,16.5,4.5,13.75,7.46,1
126,35.5,4.72,19.75,2.38,17.0,2.12,1
127,35.25,5.54,19.0,4.53,19.75,2.49,1
128,39.0,2.45,16.0,1.22,24.0,0.0,1
129,42.67,0.94,14.0,7.45,24.0,1.41,1
70,45.5,0.5,18.0,0.0,20.75,0.43,0
71,46.0,0.82,15.0,0.0,18.5,0.5,0
72,46.5,0.5,8.75,3.96,17.0,1.22,0
73,46.75,0.43,10.5,2.6,16.0,0.71,0
74,46.5,0.5,11.5,2.18,16.75,0.43,0
75,45.75,0.83,9.5,2.06,14.75,1.09,0
76,45.25,0.43,12.25,0.43,17.75,0.43,0
77,45.0,0.0,15.0,0.71,17.5,0.5,0
78,45.0,0.0,13.75,1.3,17.25,1.3,0
79,45.25,0.43,6.67,3.3,16.75,1.09,0
130,39.67,2.62,24.0,0.0,21.25,4.32,1
131,32.25,3.9,24.0,0.0,24.0,5.79,1
132,33.33,4.71,24.0,0.0,7.25,7.95,1
133,38.75,1.79,20.25,4.92,21.25,2.05,1
134,38.75,2.77,19.0,2.55,18.5,2.18,1
135,38.5,4.15,22.75,1.09,24.25,1.79,1
136,42.75,1.48,15.67,2.05,21.5,2.29,1
137,36.0,2.12,25.75,2.77,20.0,5.24,1
138,32.0,1.22,24.5,1.5,12.25,3.11,1
139,30.0,4.74,17.75,2.17,21.5,2.18,1
80,46.25,0.43,2.0,0.0,14.75,0.43,0
81,46.25,0.83,4.0,0.0,16.0,2.55,0
82,45.5,0.5,14.0,0.82,19.5,0.87,0
83,45.0,0.0,13.67,0.47,20.0,0.82,0
84,45.0,0.0,11.67,0.47,19.33,0.47,0
85,45.0,0.0,11.6,0.8,17.5,0.5,0
86,45.0,0.0,11.75,0.43,17.75,0.43,0
87,45.33,0.47,13.0,0.82,17.5,0.5,0
88,45.75,0.83,12.0,0.0,19.25,0.83,0
89,45.75,0.83,12.75,0.43,19.0,0.71,0
90,45.0,0.0,12.0,0.0,19.25,0.83,0
91,45.5,0.5,6.5,3.84,19.0,1.0,0
92,47.0,0.71,11.25,1.3,17.5,0.87,0
93,46.75,0.83,5.0,0.0,17.0,1.41,0
94,46.0,0.71,11.33,1.7,18.25,0.43,0
140,36.75,2.49,20.75,0.43,15.75,4.97,1
141,37.67,2.36,21.33,2.05,22.25,1.79,1
142,43.5,1.5,17.33,0.94,14.33,2.62,1
143,40.67,1.25,15.0,1.73,19.67,1.25,1
144,33.75,1.3,26.75,1.64,18.25,4.21,1
95,45.5,0.5,12.0,0.0,18.67,0.94,0
96,46.25,0.43,12.0,0.0,21.25,0.43,0
97,46.67,0.47,10.0,1.0,22.0,1.0,0
98,46.5,0.5,3.5,0.5,22.25,0.43,0
99,45.67,0.94,7.67,1.89,21.25,0.43,0
100,45.33,0.47,12.0,0.0,20.0,1.0,0
101,45.0,0.0,8.5,2.96,17.5,1.5,0
102,45.75,0.43,4.33,3.4,17.0,0.71,0
103,46.5,0.5,11.0,0.82,16.25,0.83,0
104,46.5,0.5,11.5,0.87,15.5,0.87,0
145,32.0,1.22,20.75,5.07,13.75,2.77,1
146,29.33,8.18,19.67,2.49,21.75,1.48,1
147,34.0,4.06,19.75,1.48,16.75,4.49,1
148,40.33,2.05,16.67,2.62,22.25,1.3,1
149,42.0,0.0,15.0,4.24,19.25,3.03,1
105,45.75,0.83,6.0,0.0,17.25,0.83,0
106,45.0,0.0,11.0,1.0,19.25,0.83,0
107,45.0,0.0,12.5,0.5,18.0,0.0,0
108,45.0,0.0,12.0,0.0,18.5,0.5,0
109,45.0,0.0,12.33,0.47,19.33,1.25,0
110,45.75,0.43,12.5,0.5,20.5,0.87,0
111,46.75,0.43,9.5,2.5,18.0,0.0,0
112,47.0,0.0,14.0,0.71,17.25,1.48,0
113,47.0,0.0,13.0,1.0,17.25,0.83,0
114,46.67,0.47,6.67,4.11,19.0,1.41,0
115,46.5,0.5,12.5,0.5,19.75,0.83,0
116,45.25,0.43,12.25,0.43,17.5,0.87,0
117,45.0,0.0,12.0,0.0,17.75,1.48,0
118,45.5,0.5,10.75,2.17,19.75,0.43,0
119,45.75,0.43,10.0,5.79,15.5,0.5,0
120,47.25,0.43,13.33,1.25,17.25,0.83,0
121,47.5,0.5,11.75,1.09,17.0,0.71,0
122,46.0,0.71,8.0,0.82,13.75,1.3,0
123,45.75,0.43,8.0,0.71,15.0,1.41,0
124,46.5,0.5,2.67,1.7,15.5,0.5,0
125,46.75,0.43,7.0,0.0,14.67,1.25,0
126,46.5,0.5,4.0,2.0,16.25,0.43,0
127,46.5,0.5,2.0,0.0,18.0,0.0,0
128,45.33,0.47,8.0,0.0,19.67,1.25,0
129,45.0,0.0,6.33,2.05,18.75,1.3,0
150,35.75,2.17,24.5,4.15,21.75,1.92,1
151,31.5,2.6,26.75,2.17,16.5,2.06,1
152,34.25,5.89,19.25,2.86,22.0,4.95,1
153,31.5,4.5,18.75,2.28,19.25,4.6,1
154,35.25,2.86,17.25,3.27,18.25,3.7,1
155,43.25,1.79,13.25,3.03,14.0,1.22,1
156,37.5,2.6,17.75,6.5,16.5,2.6,1
157,31.25,4.44,22.5,0.5,16.75,2.77,1
158,33.25,4.92,19.75,4.09,17.75,2.17,1
159,31.67,5.79,20.5,2.29,14.33,3.86,1
130,45.0,0.0,6.0,1.63,18.25,0.43,0
131,45.0,0.0,6.5,0.5,16.5,1.5,0
132,46.5,0.5,7.0,3.74,13.0,1.0,0
133,47.0,0.0,12.0,0.71,12.0,2.12,0
134,47.0,0.71,8.5,2.5,16.25,1.48,0
160,36.25,4.76,18.25,4.02,18.25,4.76,1
161,24.25,5.36,22.75,0.83,20.5,2.18,1
162,41.25,3.11,16.75,3.27,17.75,2.86,1
163,41.25,3.27,12.33,4.78,19.67,2.05,1
164,35.0,2.83,18.5,6.5,24.67,3.4,1
165,29.5,6.54,23.0,1.41,20.75,2.68,1
166,38.33,1.7,16.0,1.63,21.75,2.49,1
167,40.25,0.83,11.5,1.5,19.5,1.5,1
168,42.0,0.0,15.25,2.38,22.75,2.95,1
169,34.0,4.74,19.0,2.16,16.0,6.16,1
135,46.25,0.83,11.75,0.43,20.0,1.22,0
136,45.25,0.43,11.75,0.43,15.5,1.66,0
137,45.0,0.0,11.5,0.5,15.0,1.87,0
138,45.5,0.5,12.5,0.5,20.25,1.3,0
139,46.5,0.5,8.67,0.47,19.33,1.25,0
140,47.5,0.5,13.0,1.41,13.67,1.25,0
141,47.67,0.47,14.25,0.83,11.67,0.47,0
142,47.5,0.5,11.0,1.22,12.0,2.45,0
143,47.33,0.47,4.0,1.63,16.25,2.28,0
144,47.2,0.75,10.4,2.06,19.5,0.5,0
145,45.67,0.47,13.33,0.47,17.75,0.83,0
146,45.5,0.5,12.0,0.0,16.0,1.22,0
147,45.67,0.47,10.75,1.3,20.0,1.73,0
148,46.75,0.43,7.25,1.79,19.5,1.5,0
149,47.25,0.43,15.0,2.24,15.0,0.71,0
170,34.5,1.5,19.0,2.74,22.5,3.84,1
171,32.25,2.28,11.75,4.02,22.75,2.77,1
172,35.25,1.3,18.75,1.3,12.5,9.07,1
173,37.0,2.35,21.67,1.7,21.67,2.36,1
174,34.0,4.85,20.0,1.41,23.67,2.05,1
175,40.75,1.3,13.0,1.58,19.25,1.3,1
176,43.5,1.5,11.25,5.36,21.5,2.5,1
177,36.75,5.12,10.67,3.3,19.0,3.24,1
178,33.25,0.43,22.25,3.03,20.5,2.96,1
179,35.0,1.22,18.0,2.45,17.67,4.19,1
150,47.5,0.5,16.0,0.82,14.25,1.79,0
151,47.5,0.5,14.25,0.43,14.75,1.09,0
152,47.25,0.43,15.67,0.47,14.67,0.47,0
153,47.5,0.5,12.5,2.5,17.67,0.47,0
154,46.5,1.12,12.0,0.0,19.0,0.71,0
155,45.33,0.47,11.33,0.94,17.0,0.82,0
156,45.0,0.0,12.0,0.0,18.75,1.48,0
157,46.5,0.5,9.75,1.79,18.5,1.66,0
158,47.25,0.43,14.25,1.3,13.5,1.12,0
159,47.5,0.5,13.25,1.09,12.25,0.43,0
160,47.5,0.5,12.5,0.5,12.5,0.87,0
161,47.5,0.5,9.25,3.27,15.25,1.79,0
162,47.5,0.5,10.5,1.66,20.0,1.22,0
163,46.75,0.43,13.0,0.71,19.5,0.87,0
164,46.5,0.5,13.75,0.43,18.25,0.43,0
180,34.5,1.5,15.33,2.05,21.67,0.47,1
181,36.75,3.7,19.67,0.94,22.33,3.09,1
182,38.0,3.67,16.5,6.1,22.25,1.79,1
183,40.25,1.3,13.75,5.4,18.75,2.49,1
184,44.33,0.94,10.5,1.12,18.67,6.85,1
185,37.25,1.3,17.33,1.25,17.0,4.74,1
186,33.75,1.3,23.75,0.43,18.25,7.69,1
187,35.0,1.41,17.33,2.87,19.0,5.34,1
188,34.25,4.26,20.75,1.79,21.0,3.56,1
189,34.0,6.6,11.67,4.5,22.25,1.3,1
190,41.0,1.22,12.33,2.49,23.0,1.22,1
191,45.0,0.82,15.75,1.48,15.33,3.77,1
192,36.0,2.55,16.33,4.64,18.5,2.87,1
193,34.0,1.41,21.0,1.63,19.25,2.95,1
194,35.25,1.3,16.67,0.94,24.0,0.0,1
195,37.33,1.25,22.5,1.5,22.67,1.89,1
196,36.0,4.24,17.0,2.94,20.75,4.44,1
197,40.75,1.48,13.25,2.77,18.75,4.15,1
198,41.75,3.49,16.75,3.56,20.75,2.49,1
199,35.25,1.3,18.0,3.61,20.75,3.27,1
165,46.75,0.43,13.0,0.71,20.5,0.87,0
166,47.5,0.5,6.0,2.55,19.75,1.3,0
167,47.75,0.43,12.5,2.69,13.25,1.3,0
168,48.0,0.0,16.25,0.43,12.75,1.3,0
169,48.0,0.0,15.5,0.5,12.25,0.43,0
170,47.5,0.5,13.0,1.41,15.0,2.12,0
171,46.5,0.5,9.5,1.5,19.67,1.25,0
172,45.25,0.43,12.5,0.5,18.5,0.87,0
173,45.0,0.0,12.25,0.43,17.5,0.87,0
174,45.5,0.5,12.0,0.0,19.75,0.83,0
175,46.5,0.5,5.75,1.3,19.25,1.09,0
176,47.75,0.43,8.75,1.48,17.25,0.83,0
177,48.0,0.0,12.0,0.71,16.75,1.09,0
178,48.0,0.0,14.5,0.5,18.75,0.83,0
179,47.67,0.47,12.75,0.83,21.33,0.47,0
200,33.75,1.3,20.5,2.29,19.25,5.45,1
201,35.25,1.3,19.25,2.86,23.0,2.55,1
202,31.5,4.5,19.0,4.42,22.0,5.15,1
203,38.5,3.35,18.75,1.3,22.25,1.09,1
204,41.75,1.79,8.75,3.63,21.0,1.87,1
205,43.25,3.03,14.5,1.5,16.0,4.06,1
206,34.5,2.6,16.5,1.5,17.5,0.5,1
207,32.0,0.71,20.75,1.79,18.33,5.25,1
208,34.25,1.79,16.67,1.7,21.67,3.3,1
209,36.0,2.12,20.75,1.64,20.5,3.35,1
180,46.75,0.43,6.33,2.49,21.5,0.5,0
181,47.33,0.47,9.33,2.49,20.25,0.83,0
182,47.0,0.0,13.5,1.12,17.75,0.43,0
183,46.5,0.5,14.5,0.87,17.75,0.43,0
184,46.5,0.5,11.33,0.94,17.75,0.43,0
185,46.33,0.47,9.5,0.5,18.0,0.0,0
186,46.5,0.5,10.0,0.0,18.0,0.0,0
187,46.75,0.43,9.67,0.47,17.67,0.47,0
188,46.5,0.5,11.75,0.43,17.25,0.83,0
189,47.0,0.0,12.0,0.0,17.75,0.43,0
190,47.67,0.47,11.0,0.0,18.67,0.47,0
191,47.25,0.43,9.67,0.47,19.0,0.71,0
192,46.5,0.5,7.67,0.47,18.75,0.83,0
193,46.0,0.0,6.67,0.47,18.5,0.5,0
194,46.5,0.5,8.0,1.22,18.25,0.43,0
195,46.33,0.47,11.33,1.25,17.75,0.43,0
196,47.5,0.5,14.0,1.22,17.0,0.71,0
197,48.0,0.0,13.75,1.3,14.25,2.28,0
198,48.0,0.0,14.75,0.43,15.75,1.64,0
199,47.75,0.43,16.0,1.22,15.0,0.0,0
200,46.75,1.09,16.0,1.58,14.0,1.22,0
201,45.5,0.5,8.67,2.87,14.75,1.09,0
202,45.5,0.5,8.75,1.09,17.25,0.83,0
203,45.25,0.43,12.0,0.0,17.0,0.82,0
204,45.33,0.47,9.75,1.92,17.33,0.47,0
210,36.0,2.45,16.75,4.82,23.33,3.77,1
211,39.5,0.87,15.25,3.27,19.0,2.74,1
212,42.67,0.94,13.5,1.5,21.75,2.28,1
213,41.0,2.68,13.75,4.02,19.75,4.76,1
214,34.0,1.41,21.0,2.16,18.75,7.46,1
205,45.33,0.47,3.5,1.5,15.0,0.0,0
206,46.0,0.71,7.0,1.63,16.0,1.22,0
207,47.5,0.5,11.67,0.47,18.0,1.22,0
208,46.33,0.47,12.67,0.94,17.25,0.83,0
209,45.25,0.43,12.25,0.43,16.0,0.0,0
210,45.0,0.0,13.0,0.0,14.25,0.83,0
211,44.5,0.5,13.25,1.09,17.25,2.59,0
212,44.75,0.43,13.0,1.22,17.75,0.43,0
213,44.75,0.43,12.0,0.0,16.75,0.83,0
214,44.25,0.83,11.33,0.94,16.33,0.47,0
215,43.5,0.5,8.5,1.12,16.75,1.3,0
216,43.67,0.47,9.0,0.0,16.33,0.94,0
217,43.75,0.83,11.5,0.5,16.25,0.83,0
218,45.0,0.0,12.0,0.0,16.75,0.43,0
219,45.0,0.0,12.33,0.47,17.25,0.83,0
215,35.0,1.22,17.25,2.17,21.75,4.49,1
216,36.75,1.3,19.25,3.56,23.5,0.87,1
217,38.0,3.67,18.25,3.83,22.0,1.22,1
218,40.25,1.09,12.0,2.55,23.5,0.5,1
219,42.25,2.17,8.0,7.0,21.0,0.0,1
220,41.75,2.17,13.33,1.89,13.0,3.74,1
221,36.0,2.12,16.25,1.3,16.5,3.35,1
222,33.75,1.3,16.5,1.12,18.0,5.2,1
223,37.0,1.73,18.5,1.5,25.5,0.87,1
224,35.33,4.03,21.0,4.24,24.33,1.25,1
220,45.0,0.0,12.25,0.43,18.75,0.83,0
221,45.0,0.0,7.33,2.36,16.75,0.43,0
222,45.25,0.43,2.0,0.0,16.75,0.83,0
223,45.0,0.0,3.67,1.7,17.5,0.87,0
224,45.0,0.0,8.67,1.89,16.25,1.09,0
225,45.0,0.0,11.75,0.43,18.5,0.5,0
226,45.0,0.0,13.0,0.71,19.25,0.83,0
227,45.75,0.43,12.5,0.87,20.0,1.22,0
228,46.25,0.43,10.5,1.5,20.33,0.47,0
229,46.25,0.43,10.2,0.4,19.4,0.8,0
225,40.67,0.47,17.5,3.35,22.67,1.25,1
226,40.67,1.25,6.0,4.0,22.75,1.3,1
227,44.0,0.71,5.5,3.5,21.75,0.43,1
228,44.0,0.0,12.25,2.59,22.5,0.5,1
229,42.5,3.77,16.0,1.58,21.0,1.87,1
230,46.0,0.71,9.67,0.94,18.67,0.94,0
231,45.67,0.47,5.33,0.94,19.67,0.94,0
232,45.75,0.43,3.5,1.5,19.0,1.0,0
233,45.0,0.0,8.0,0.82,14.0,1.41,0
234,45.0,0.0,7.75,1.3,12.33,0.47,0
235,44.0,0.82,3.5,0.5,16.5,1.66,0
236,43.25,0.83,11.25,5.54,17.33,1.7,0
237,41.75,1.79,10.75,3.03,15.5,5.02,0
238,38.5,0.5,8.0,1.0,23.0,1.0,0
239,40.5,1.12,11.75,1.09,17.0,3.27,0
240,44.25,0.83,11.25,1.48,11.25,1.92,0
241,45.0,0.0,4.0,1.87,6.75,3.56,0
242,45.0,0.0,7.75,2.17,10.5,1.12,0
243,42.75,3.9,7.0,2.16,7.0,0.82,0
244,45.0,0.0,2.5,0.5,9.33,1.7,0
245,45.0,0.0,4.67,2.49,11.75,0.43,0
246,45.75,0.83,8.67,0.47,9.5,1.8,0
247,46.67,0.47,8.0,1.73,4.0,1.0,0
248,47.5,0.5,6.33,0.47,6.33,2.62,0
249,47.33,0.47,9.0,0.0,9.5,0.87,0
250,47.2,0.4,11.0,0.71,8.75,0.43,0
251,47.0,0.0,8.67,0.47,7.67,0.94,0
252,46.75,0.43,6.5,0.87,9.25,1.09,0
253,46.0,0.71,6.5,0.5,9.33,0.47,0
254,45.25,0.43,7.0,0.82,7.5,1.12,0
255,45.25,0.43,8.5,0.5,5.0,0.82,0
256,45.5,0.5,7.5,1.5,3.67,1.7,0
257,45.0,0.0,8.67,1.25,10.5,1.5,0
258,45.0,0.0,6.33,1.7,9.33,0.94,0
259,45.0,0.0,2.0,0.0,10.25,1.3,0
260,45.2,0.4,5.33,2.87,10.8,0.4,0
261,45.33,0.47,6.5,1.5,11.0,0.0,0
262,45.0,0.0,7.5,0.5,10.33,1.25,0
263,45.25,0.43,8.0,1.0,5.0,2.55,0
264,45.0,0.0,4.0,1.41,2.5,1.5,0
230,35.75,1.79,17.25,2.17,17.25,7.73,1
