avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,activity
36.75,1.3,17.5,5.77,17.75,6.8,1
33.75,1.3,19.5,2.69,21.33,0.47,1
35.25,2.49,17.75,2.17,20.75,2.38,1
34,5.66,22,0.82,21.75,3.77,1
37.5,2.6,18,3.08,22.75,2.49,1
40.25,1.3,15.75,2.95,22.25,1.09,1
42.5,2.29,18.33,2.49,17,6.16,1
37,1.73,15,4.95,14.5,3.5,1
35.25,1.3,20.25,2.59,15.25,6.26,1
31.75,7.36,16.67,3.86,21,2.94,1
39.25,2.05,17.75,5.17,22.75,1.3,1
38,0.82,15.75,4.26,20.33,1.25,1
43.67,1.25,16.33,2.36,21.5,2.29,1
40.75,1.79,16.25,2.86,14.75,2.77,1
34.67,1.25,17.67,5.44,13.33,4.71,1
34.25,1.3,19,1.41,15.67,8.26,1
35.25,2.49,15,3.67,20.5,2.29,1
35,4.85,19,3.94,20.5,3.57,1
38,2.16,15.33,4.5,21,2,1
41.8,2.14,12.8,5.46,19.33,2.21,1
37.5,4.5,19,1.41,19.5,2.18,1
34.5,1.5,20.75,1.48,16.5,3.77,1
35.25,1.3,17,2.16,22.75,1.09,1
32.75,4.92,17.75,4.02,22.25,1.79,1
39.5,1.5,19.25,1.3,20.5,1.5,1
40,1.22,10.33,4.19,17.67,0.47,1
43.25,2.49,15.67,2.05,19.67,1.25,1
36.75,1.3,17.5,2.6,17,5.15,1
34.5,1.5,16.5,4.5,13.75,7.46,1
35.5,4.72,19.75,2.38,17,2.12,1
35.25,5.54,19,4.53,19.75,2.49,1
39,2.45,16,1.22,24,0,1
42.67,0.94,14,7.45,24,1.41,1
39.67,2.62,24,0,21.25,4.32,1
32.25,3.9,24,0,24,5.79,1
33.33,4.71,24,0,7.25,7.95,1
38.75,1.79,20.25,4.92,21.25,2.05,1
38.75,2.77,19,2.55,18.5,2.18,1
38.5,4.15,22.75,1.09,24.25,1.79,1
42.75,1.48,15.67,2.05,21.5,2.29,1
36,2.12,25.75,2.77,20,5.24,1
32,1.22,24.5,1.5,12.25,3.11,1
30,4.74,17.75,2.17,21.5,2.18,1
36.75,2.49,20.75,0.43,15.75,4.97,1
37.67,2.36,21.33,2.05,22.25,1.79,1
43.5,1.5,17.33,0.94,14.33,2.62,1
40.67,1.25,15,1.73,19.67,1.25,1
33.75,1.3,26.75,1.64,18.25,4.21,1
32,1.22,20.75,5.07,13.75,2.77,1
29.33,8.18,19.67,2.49,21.75,1.48,1
34,4.06,19.75,1.48,16.75,4.49,1
40.33,2.05,16.67,2.62,22.25,1.3,1
42,0,15,4.24,19.25,3.03,1
35.75,2.17,24.5,4.15,21.75,1.92,1
31.5,2.6,26.75,2.17,16.5,2.06,1
34.25,5.89,19.25,2.86,22,4.95,1
31.5,4.5,18.75,2.28,19.25,4.6,1
35.25,2.86,17.25,3.27,18.25,3.7,1
43.25,1.79,13.25,3.03,14,1.22,1
37.5,2.6,17.75,6.5,16.5,2.6,1
31.25,4.44,22.5,0.5,16.75,2.77,1
33.25,4.92,19.75,4.09,17.75,2.17,1
31.67,5.79,20.5,2.29,14.33,3.86,1
36.25,4.76,18.25,4.02,18.25,4.76,1
24.25,5.36,22.75,0.83,20.5,2.18,1
41.25,3.11,16.75,3.27,17.75,2.86,1
41.25,3.27,12.33,4.78,19.67,2.05,1
35,2.83,18.5,6.5,24.67,3.4,1
29.5,6.54,23,1.41,20.75,2.68,1
38.33,1.7,16,1.63,21.75,2.49,1
40.25,0.83,11.5,1.5,19.5,1.5,1
42,0,15.25,2.38,22.75,2.95,1
34,4.74,19,2.16,16,6.16,1
34.5,1.5,19,2.74,22.5,3.84,1
32.25,2.28,11.75,4.02,22.75,2.77,1
35.25,1.3,18.75,1.3,12.5,9.07,1
37,2.35,21.67,1.7,21.67,2.36,1
34,4.85,20,1.41,23.67,2.05,1
40.75,1.3,13,1.58,19.25,1.3,1
43.5,1.5,11.25,5.36,21.5,2.5,1
36.75,5.12,10.67,3.3,19,3.24,1
33.25,0.43,22.25,3.03,20.5,2.96,1
35,1.22,18,2.45,17.67,4.19,1
34.5,1.5,15.33,2.05,21.67,0.47,1
36.75,3.7,19.67,0.94,22.33,3.09,1
38,3.67,16.5,6.1,22.25,1.79,1
40.25,1.3,13.75,5.4,18.75,2.49,1
44.33,0.94,10.5,1.12,18.67,6.85,1
37.25,1.3,17.33,1.25,17,4.74,1
33.75,1.3,23.75,0.43,18.25,7.69,1
35,1.41,17.33,2.87,19,5.34,1
34.25,4.26,20.75,1.79,21,3.56,1
34,6.6,11.67,4.5,22.25,1.3,1
41,1.22,12.33,2.49,23,1.22,1
45,0.82,15.75,1.48,15.33,3.77,1
36,2.55,16.33,4.64,18.5,2.87,1
34,1.41,21,1.63,19.25,2.95,1
35.25,1.3,16.67,0.94,24,0,1
37.33,1.25,22.5,1.5,22.67,1.89,1
36,4.24,17,2.94,20.75,4.44,1
40.75,1.48,13.25,2.77,18.75,4.15,1
41.75,3.49,16.75,3.56,20.75,2.49,1
35.25,1.3,18,3.61,20.75,3.27,1
33.75,1.3,20.5,2.29,19.25,5.45,1
35.25,1.3,19.25,2.86,23,2.55,1
31.5,4.5,19,4.42,22,5.15,1
38.5,3.35,18.75,1.3,22.25,1.09,1
41.75,1.79,8.75,3.63,21,1.87,1
43.25,3.03,14.5,1.5,16,4.06,1
34.5,2.6,16.5,1.5,17.5,0.5,1
32,0.71,20.75,1.79,18.33,5.25,1
34.25,1.79,16.67,1.7,21.67,3.3,1
36,2.12,20.75,1.64,20.5,3.35,1
36,2.45,16.75,4.82,23.33,3.77,1
39.5,0.87,15.25,3.27,19,2.74,1
42.67,0.94,13.5,1.5,21.75,2.28,1
41,2.68,13.75,4.02,19.75,4.76,1
34,1.41,21,2.16,18.75,7.46,1
35,1.22,17.25,2.17,21.75,4.49,1
36.75,1.3,19.25,3.56,23.5,0.87,1
38,3.67,18.25,3.83,22,1.22,1
40.25,1.09,12,2.55,23.5,0.5,1
42.25,2.17,8,7,21,0,1
41.75,2.17,13.33,1.89,13,3.74,1
36,2.12,16.25,1.3,16.5,3.35,1
33.75,1.3,16.5,1.12,18,5.2,1
37,1.73,18.5,1.5,25.5,0.87,1
35.33,4.03,21,4.24,24.33,1.25,1
40.67,0.47,17.5,3.35,22.67,1.25,1
40.67,1.25,6,4,22.75,1.3,1
44,0.71,5.5,3.5,21.75,0.43,1
44,0,12.25,2.59,22.5,0.5,1
42.5,3.77,16,1.58,21,1.87,1
35.75,1.79,17.25,2.17,17.25,7.73,1
33.75,1.3,13.5,4.15,19,8.66,1
32.75,5.67,17.5,5.68,21.5,3.57,1
35.25,3.77,14.75,4.55,22.5,1.12,1
40,1.41,12,4.32,22.5,0.5,1
42.6,1.2,13.75,2.77,17.8,3.87,1
38.25,1.92,15,2.45,22,3.67,1
34.5,2.06,16,4.64,19.25,5.07,1
34.67,1.89,11,3,19.33,3.4,1
37.75,1.79,18.25,4.92,25.5,0.87,1
31.67,6.6,17.67,2.36,22.75,1.79,1
40.25,1.79,10.25,5.97,23.5,0.87,1
43.25,2.49,9.75,4.49,16.75,2.95,1
36.25,2.17,17.25,2.59,18.75,1.92,1
34.25,1.79,12,6.6,17.5,5.5,1
32.25,6.5,14.67,2.49,22.67,3.68,1
34.75,3.49,18,5.52,24,1.22,1
40.75,1.48,11.5,7.83,24.5,0.5,1
43.25,2.49,8.33,5.19,18.25,5.31,1
37.33,1.89,14.75,3.49,23.67,2.05,1
33.5,1.5,16.5,2.29,17.75,5.31,1
37.5,1.5,22.5,1.12,24,2.12,1
37.25,4.76,18.5,1.5,21.75,2.28,1
39.33,0.47,9.67,5.44,20.5,0.87,1
44,0.82,18,0,20,1.63,1
38,4.06,13.5,3.91,19.25,2.05,1
34.5,1.5,16.75,2.77,16,6.6,1
36,2.12,14.75,3.63,23.5,0.87,1
33,5.61,17.5,4.15,17.25,5.89,1
41,1.58,16.75,1.64,22.5,2.6,1
43,2.92,15,0,18,4.24,1
35.25,2.49,20.33,1.7,15,2.94,1
35,1.41,14.5,1.5,19.67,1.25,1
36.25,2.49,18.75,3.34,19.25,2.49,1
34.25,7.56,16.5,2.06,19.75,4.6,1
41.33,1.7,11,0,22.33,0.94,1
43.25,2.49,13,5.1,19.67,3.09,1
36.5,1.5,17.5,3.57,22.67,1.25,1
35.25,1.3,14.25,5.45,18,3.67,1
33,3,18.5,1.5,21.67,1.7,1
39.75,1.3,18,2.16,19.67,0.94,1
42.25,2.68,12.25,4.55,16.25,6.02,1
35.25,1.3,16.67,3.09,22,3.08,1
35,1.41,18.5,1.66,13.33,6.85,1
33,0,11.67,5.31,21,1.22,1
35.75,1.79,19.75,3.7,18,3.74,1
32.5,5.55,18,2.83,19.5,3.84,1
40.75,1.09,10.5,6.34,19.5,0.87,1
40,2.74,13,2.74,15,3.24,1
35,1.22,19.75,3.77,15,2.55,1
35.25,1.3,14.75,3.83,21,1.87,1
31.75,4.76,19.25,1.79,20.75,3.27,1
38,4.74,15.75,2.05,21.75,1.3,1
42.75,1.3,9.75,4.82,20.25,1.3,1
42.5,2.29,10.67,5.44,14,4.32,1
35,2.12,19,2.74,18.25,4.15,1
34.5,1.5,17.75,2.05,20.25,3.9,1
33.5,2.87,16.5,6.87,22,2.74,1
38.67,4.71,16,2.55,19,2.94,1
42,2.24,13,1.63,22,1.58,1
43,2.83,11.67,0.47,17.5,2.5,1
35.25,2.49,18.25,3.7,18.5,3.77,1
34.5,1.5,17.25,4.15,17.75,7.4,1
36,2.55,21.5,2.29,18.75,4.44,1
31.5,6.8,18.5,3.84,21.25,3.9,1
41,1.22,11.75,3.19,22.5,0.87,1
43.75,1.64,11.5,2.5,13,5.74,1
37.25,1.64,18,3.61,13.75,5.31,1
36,0,20.25,1.92,16.25,5.07,1
35.5,2.87,17.25,2.86,21,2.45,1
31.5,5.94,17.75,4.32,21.75,1.92,1
41,1.22,15.33,2.62,21.25,0.83,1
44.5,0.5,11.25,3.96,17.75,0.43,1
39.75,3.56,14.5,4.5,23.25,2.49,1
33.25,0.43,23,1.41,12.67,8.18,1
36,0,13.5,3.35,21,0,1
35.67,4.19,19,2.16,20,2.55,1
36.5,7.3,16.25,2.49,22.5,1.5,1
43,1.58,13.5,4.03,18.75,2.59,1
39.25,3.19,14.5,6.73,21.5,5.68,1
34,1.22,21.75,0.83,20,2.55,1
36,0,19.5,1.5,23.5,0.5,1
35,3,19,4.42,21,2.12,1
40.75,0.43,15.5,2.6,21.75,1.3,1
43.25,1.3,6.75,4.6,18,7.58,1
41.5,3.35,10,2.83,15,2.45,1
36.25,0.43,19.5,3.64,19.75,3.7,1
35.25,1.3,21,2.24,15,6.36,1
37,2.74,20,3.74,23,2.16,1
38,3.54,19,1,17,1.63,1
42.25,1.79,12.67,3.86,21.67,0.47,1
42.5,2.29,11,2,15.67,2.49,1
36.5,0.87,17.75,4.38,19.5,4.56,1
35,1.41,21.25,1.92,13,5.89,1
36.25,2.49,17.25,2.49,20,1,1
36.25,3.11,13,0,17.33,4.5,1
41.5,0.5,12,3.67,21.5,1.5,1
44,0.82,12.33,2.49,21,3.54,1
40,3.54,12,0,22,1.41,1
33.75,1.3,20,2,20,3,1
35.5,1.5,16.5,3.2,18.5,6.8,1
35,5.05,18.5,3.91,17,4.55,1
40.5,1.12,13.25,7.43,23.25,0.83,1
43.67,1.25,13.33,1.7,23,0,1
41.4,3.67,11.75,1.48,19.8,3.06,1
35.75,0.43,16.75,5.8,16,4.24,1
36,0,16.5,3.64,21.67,0.94,1
32.75,4.09,19,3.54,19.5,3.64,1
33.75,8.58,15.75,3.27,21.5,1.8,1
42.5,1.12,11.75,1.92,21.75,1.3,1
43.67,2.62,11.33,2.87,11.75,6.26,1
37,1.73,15.67,2.87,21.5,3.04,1
35.25,1.3,16.5,2.6,21.5,2.29,1
32.5,0.87,16,2.74,20,3.74,1
33.25,6.61,14.5,3.35,21,0.71,1
41,1.58,10.25,5.93,21,1.73,1
43.5,2.06,14,2.94,16.33,3.68,1
37,1.73,15,4.97,24.33,0.47,1
35.25,1.3,18.5,2.29,17.25,3.34,1
38,1.41,19.67,1.89,22.33,1.25,1
34.75,6.38,14.75,1.64,18,4.3,1
41.75,1.48,13.5,1.8,21,0.71,1
44.33,2.49,12.33,3.77,15.75,5.93,1
38,2.35,9.5,2.5,15.33,5.31,1
35.25,1.3,14.75,3.77,21.75,0.83,1
33.33,4.5,17,1.41,16.5,3.35,1
34,5.72,15,4.08,15.5,4.82,1
42.25,2.17,15,2.83,19.5,1.5,1
39.5,3.35,13,3,20.75,1.92,1
35.25,1.3,18,4.24,15.67,1.7,1
35.25,2.49,14.25,2.05,22,2.35,1
36.25,4.55,17,2.12,21,0,1
38,1.87,12,4.55,20,1.41,1
39.5,1.5,12,0.71,21,0,1
44.67,0.47,9.5,1.5,12.33,5.31,1
42,3,17.5,0.5,14.25,8.07,1
37.33,1.25,16.33,1.25,17.5,7.76,1
32.75,2.17,17.75,2.17,15.25,3.83,1
33.75,2.49,21,1.73,20,2.12,1
35.75,4.38,16.25,3.11,20,2.12,1
38.5,4.61,14.75,1.09,18.75,4.6,1
41,3.24,12.33,1.89,22.25,2.68,1
34.5,1.5,15.75,1.79,19,2.12,1
36,0,15,0.71,20.5,0.87,1
34.5,5.32,17,2.83,20.67,0.94,1
35.75,2.77,17,4.97,20.5,1.12,1
43,2.83,17.33,3.86,18,8.49,1
39.33,2.49,14,2.83,22.67,2.62,1
35.67,0.47,14.67,1.25,14,3.46,1
34.5,1.5,17.25,3.27,18.75,0.43,1
34.25,3.49,17.5,4.15,21.75,1.3,1
37.25,2.17,16,2.12,19.5,3.2,1
41.25,2.59,12,3.54,20,4.64,1
40.25,3.19,15,2.45,21,2.45,1
35,1.22,19.25,1.3,16.5,4.15,1
36,0,16.75,5.36,20.25,1.3,1
30.33,2.49,21,2.12,21.33,2.36,1
36.75,2.49,14.75,2.49,20.75,1.79,1
41.67,2.49,15.33,0.47,22.25,2.68,1
40.75,3.27,16.25,1.48,19.5,4.5,1
34.5,1.5,19.25,1.09,16,3.16,1
36.75,1.3,20,1.73,19.5,1.5,1
33,7.07,15,5.83,21,1.87,1
37,1.73,13.75,6.18,20.25,2.49,1
41.75,2.17,14.75,2.28,21.25,3.63,1
40.5,3.2,12.75,2.28,22,2.45,1
35.25,1.3,21,1.63,17.33,3.4,1
36,2.12,16.75,0.83,17.5,2.18,1
34,5.61,20,1.22,20.75,1.64,1
37,1.73,16.75,3.11,21.75,0.83,1
40.33,1.25,14.5,0.87,24,0,1
43.25,1.79,14.33,1.7,22,2.12,1
33,0,17.33,2.05,17.5,4.77,1
36,0,13.5,1.5,21.5,0.5,1
33.67,3.86,19,2.94,21,2.55,1
38,1.41,16.67,1.25,20.25,1.3,1
40,2.92,15.33,1.7,20.5,3.2,1
42,2.12,13.25,3.19,19.75,7.12,1
35.25,2.49,16,0.82,12.5,9.34,1
35.25,1.3,14.5,1.5,21.5,0.5,1
36.25,0.83,22,1.58,19.25,1.79,1
29.25,6.5,17.5,2.69,20.25,1.3,1
38.5,2.5,14.67,2.62,23.25,1.3,1
40.75,1.48,15.5,2.6,18,2.12,1
36.5,0.87,23,1,19,3.74,1
35.75,0.43,19,1.58,18.5,2.6,1
37,1.41,20.33,1.7,20,4,1
35.25,3.77,15.33,3.4,21,2.74,1
36.33,0.47,14.67,4.5,23,1,1
41.5,1.5,13.67,1.25,22,1.87,1
39.25,2.17,17.33,0.94,16,5.66,1
36,0,18.5,2.96,17.67,2.49,1
31.5,6.18,15.5,4.61,21.25,1.79,1
37,2.74,20,3.56,21.75,1.64,1
36,3,13.75,6.22,22,1.22,1
41.25,3.03,15.67,0.94,17.5,4.03,1
36.25,0.43,18,4.24,22.67,2.36,1
36,0,20.5,2.06,17.33,2.05,1
35,1.41,19.75,1.64,22,2.16,1
32.25,5.54,21,1.22,21.5,2.5,1
38,3.56,15,3.74,22.75,1.09,1
39.75,2.59,14,2.55,21,5.24,1
40.5,3.2,14.33,2.05,19.67,4.19,1
35.75,0.43,19.6,2.73,15.8,4.71,1
35,1.73,15.67,1.25,19.67,1.25,1
36,4.74,18.5,1.5,18.5,1.66,1
37,3.56,15.25,4.71,19,2.94,1
36,0,15.67,4.5,21.25,0.43,1
40,1,11.25,3.96,21.25,0.43,1
41.25,1.3,13,2.24,20,2.12,1
36.6,1.2,20.8,2.48,17.75,5.07,1
35,1.41,18,0,20,0.82,1
30.8,3.54,19.6,1.62,21,3.08,1
38.67,1.89,11.33,4.03,21.75,1.3,1
40.25,2.59,13.67,0.94,23,2.35,1
41,3.24,14,1.58,16.5,8.17,1
35.75,0.83,19.25,2.49,14.5,6.5,1
34.5,1.5,14.25,3.9,21.25,2.28,1
33.75,4.32,17.25,4.15,22.5,1.5,1
39,2.12,15.5,3.77,22,2.12,1
42,2.12,14,0.82,23,0.82,1
38.25,2.28,13.5,3.35,20.25,1.92,1
34.5,1.5,22.33,1.25,16.33,4.11,1
36,0,17,1.1,20,4.64,1
34.75,5.76,15.75,6.98,19.75,0.43,1
38.75,1.79,15,2.74,20.5,3.35,1
40.25,1.79,15.25,0.43,23.25,1.3,1
42.67,2.62,12,2.45,20.75,3.27,1
35.67,0.47,20.5,2.5,20.67,1.89,1
35.75,0.43,15.25,2.38,18,3.67,1
29,7.25,19.25,1.3,19.5,2.6,1
36.25,3.9,14.67,4.11,21.5,1.5,1
39.25,2.17,16.33,3.09,23.5,0.87,1
42,2.55,11.25,2.86,21.25,2.77,1
35.5,1.5,21,3.67,18,2.55,1
36.25,2.17,16.5,1.12,15.33,5.31,1
37.5,3.2,19,2.45,20.25,2.86,1
38.25,1.92,16.67,4.19,21,2.16,1
42.33,1.25,11,3.74,21.67,0.94,1
34.5,4.39,12.33,2.05,14.25,7.79,1
34.5,1.5,21.67,0.94,15.33,2.36,1
36,0,19.5,1.5,22,2.45,1
37.5,1.5,17.5,7.26,23,1.41,1
38.75,1.09,15.5,5.55,21.75,2.49,1
41.75,1.79,12.25,1.09,18,4.64,1
38,2.55,18.25,2.17,20,4.74,1
36,0,19,1.41,13.67,1.25,1
37,1.73,17.75,0.43,22.5,0.87,1
37,3.74,19,4.18,22,1.41,1
38.75,1.92,16.75,3.49,21,3.67,1
41.75,1.79,8.75,6.87,23.25,0.83,1
39.5,3.57,15,0,19.25,3.27,1
35,1.41,19.33,1.25,19.5,3.2,1
36,0,18.5,0.5,21.25,4.76,1
33.33,2.87,20.25,1.79,23.75,0.43,1
38.5,1.5,18.67,2.62,22.33,1.7,1
41.25,1.92,11.33,1.7,22.33,0.94,1
40.5,3.2,13,2.16,13.5,4.56,1
34,1.41,17.75,3.7,18.33,4.19,1
34.25,1.3,17.5,0.5,18.25,4.26,1
34,3.67,21,3.67,22.5,1.5,1
38.33,2.05,18.33,2.49,22.25,1.3,1
39.5,1.66,13.25,3.34,20.75,1.09,1
40.5,2.96,14.33,3.4,13.67,3.09,1
35.25,1.3,20,1.22,20.75,1.09,1
35.25,1.3,13.5,3.35,19.25,2.49,1
34.25,3.03,19.5,2.29,14,5.1,1
37.5,1.5,18,4.24,15,3.24,1
41.75,2.49,15.33,2.49,19.67,1.25,1
38.75,3.7,12.75,1.3,16,2.92,1
33.75,1.3,17.5,2.87,15.5,2.29,1
35.25,1.3,17,1.22,19,0.71,1
39,2.45,15,6.96,21,0.82,1
37,3.56,14.75,4.97,14.67,4.92,1
38.5,2.29,14.67,3.4,17.5,3.35,1
41.75,3.27,11.5,0.87,17.5,2.87,1
35,1.41,18,1.41,14.25,6.18,1
34.5,1.5,13,3.32,18.5,2.29,1
36,0,15,4.24,22,1.58,1
34.5,3.35,18.25,4.87,18,3.67,1
38,1.22,14.25,8.17,18.75,2.49,1
41.75,1.79,13,3.54,17,5.34,1
36.75,2.49,14.67,2.05,17.75,3.27,1
35,1.22,11.75,5.21,19.75,2.17,1
35.75,3.9,16.75,7.46,18.75,1.79,1
37,2.74,18.25,4.32,17,2.16,1
39.5,1.5,8.33,2.87,20,1.41,1
43.25,1.3,13.25,1.48,20.5,1.5,1
40.67,0.94,11.75,4.82,14.33,3.3,1
36,0,20.25,3.9,16.75,4.26,1
35.25,1.3,19.25,2.68,15.25,2.86,1
35.5,4.5,16.5,5.85,20.25,1.92,1
38,1.63,20,1.41,16.5,2.29,1
41.25,2.17,15.75,5.36,17.75,3.7,1
41.75,2.17,13.5,4.72,14.5,4.15,1
34.75,2.49,14.33,4.5,12.75,7.29,1
34.5,1.5,21,0,13.33,4.64,1
29.25,7.08,15.33,4.03,15.33,1.25,1
36.75,2.49,15,3.67,12.5,2.29,1
40.25,3.03,15.75,2.49,17.33,0.94,1
43,1.22,9.25,5.49,16.33,0.47,1
36.75,1.3,13,2.24,14.25,5.12,1
35.25,1.3,14.25,3.11,13.75,3.11,1
31.5,2.6,15.75,4.44,13,2.12,1
37.5,1.12,15.5,3.2,15.67,0.94,1
42,2.12,17.33,3.86,16.67,1.25,1
41.25,3.27,6.67,2.62,15.67,1.7,1
35.25,1.3,13.25,1.79,14,7.04,1
34,1.41,15.25,4.15,11.33,0.47,1
35.6,4.5,14.75,5.31,14.2,1.94,1
37.67,0.94,15,6.08,18.5,2.5,1
41.67,2.05,13.25,3.96,23,1.41,1
43.25,2.38,16,1.41,18.75,3.9,1
36.33,0.47,16.67,1.25,18,4.24,1
35.75,0.43,16.25,3.03,21.75,0.83,1
34.5,3.35,19.25,3.63,20.25,3.96,1
38.5,2.06,16.5,3.64,21.75,3.77,1
39.5,2.29,13.75,2.17,21.25,0.43,1
41.25,3.11,16.5,1.66,19.5,2.87,1
36,0,19.75,0.83,17.33,1.25,1
36,0,17.67,2.05,22,2.83,1
35,2.83,19.33,3.4,19.5,1.5,1
38.5,1.5,19.5,2.69,20,5.34,1
42,0.82,13.67,1.25,19.67,0.94,1
39.25,2.28,15.75,3.77,12.25,3.49,1
35.25,1.3,19.5,2.69,14.75,4.21,1
36,0,15,1.63,22.25,1.92,1
36,4.3,17,3.67,20.75,2.28,1
35.75,5.36,18.75,0.83,21.5,3.2,1
39,2.24,11,3.46,23.25,1.3,1
43,2.45,13,6.53,16.25,7.26,1
37,1.73,15,6,22,1.41,1
36,0,12.5,3.57,17,4.06,1
37.67,1.7,17.25,1.3,22.67,1.25,1
37.5,2.87,17,4.3,20.5,3.77,1
38.25,1.92,11.75,4.55,22.25,1.79,1
43.67,1.25,16.33,3.77,20,3.67,1
36.25,2.17,18,4.95,20,4.36,1
35.25,1.3,16.5,2.87,18.5,4.03,1
35.25,3.27,16.25,6.53,20.5,0.5,1
36.25,5.45,18.75,5.54,21.5,4.33,1
37.5,1.5,17.5,2.5,22,1,1
41.2,2.32,15.75,4.09,21.5,3.2,1
38,2.45,15,2,14,3.27,1
36.25,0.43,15.5,0.5,17,1.73,1
36,2.12,21.5,1.5,20.5,1.66,1
30.75,5.76,19.25,3.63,19.67,4.78,1
38,2.16,15.25,2.17,22.67,1.89,1
42.67,1.7,16,2.45,20.5,4.5,1
